ID_REGIAO;DISTRITO;Populaçãototal;Populaçãopretaeparda;Populaçãofeminina;PopulaçãoInfantil;Populaçãojovem;Densidadedomiciliar;Favelas;Ofertadeempregoformal;Remuneraçãomédiamensaldoempregoformal;ProporçãodeImpostosobreserviçoISSarrecadado;Acessoatransportedemassa;Acessoainfraestruturacicloviária;Ocorrênciasdetrânsito;Mortesnotrânsito;AcessointernetMapeamentodasantenasáreakm;AcessointernetMapeamentodasantenasPopulaçãodistrito;Violênciacontraamulhertodas;Violênciacontraamulherfeminicídio;ViolênciaLGBTQIAP+;Violênciaracial;Homicídiosdejovens;Agressõesporintervençãopolicial;Mortesporintervençãopolicial;Idademédiaaomorrer;MortalidadeporCovid19;Gravideznaadolescência;Mortalidadematerna;Mortalidadeinfantil;Mortalidadepordoençasdoaparelhocirculatório;Mortalidadepordoençasdoaparelhorespiratório;TempomédioparaconsultasnaAtençãoBásica;TempomédioparaconsultasnaAtençãoEspecializada;Tempomédiopararealizaçãodeexamesespecializados;TempomédioemdiasparaConsultascomPsiquiatras;ICSAP–InternaçõesporCondiçõesSensíveisàAtençãoPrimária;CoberturaestimadaAtençãoBásica;CoberturaestimadaESF;Tempodeatendimentoparavagaemcreche;MatrículasnoEnsinoBásicoemescolaspúblicas;DistorçãoIdadeSérienoEnsinoFundamentaldaredemunicipal;AbandonoescolarnoEnsinoFundamentaldaredemunicipal;ÍndicedoNívelSocioeconômicodasEscolasINSE;Centrosculturais,casaseespaçosdecultura;Equipamentospúblicosdecultura;Cinemas;Museus;Teatros;Espaçosculturaisindependentes;Ocupaçõesculturais;EquipamentosculturaiscomWiFi;Equipamentospúblicosdeesporte
25;Guaianases;109.730;51.5;51.6;11;47.2;3.1;3;1;2.814;0.03;6.9;0;7.4;7.3;2.1;1.7;315.7;9.55;4.56;1.09;10.7;0.9;4.9;62.9;19.3;11.5;73.4;11.8;161.6;25.7;38;27;49;não aplicável;38.68;82.7;66;17;87.7;7.9;0.03;5.09;0.09;1.82;0;0;0;0;0;0.09;0.1
27;Iguatemi;149.739;50.9;50.9;11.3;48.7;3.2;7.3;0.4;2.191;0.01;0;18.2;5.7;7.3;1;1.3;196.3;1.31;0;0.4;12.8;0;5.6;60.1;20.8;12;85.3;10;148.7;37.9;33;40;52;124;39.27;98.8;51.3;78;96.4;6.8;0.07;5.08;0;2;0;0;0.07;0;0;0.13;0.3
28;Ipiranga;112.222;22;53.3;8;34.7;2.8;3.3;8.6;3.280;0.44;34.5;64.3;10.7;2.7;5.6;5.5;191.3;0;1.78;1.25;4.7;0.3;4.2;74.3;17.2;6.8;74.1;9.5;107.9;12.3;34;53;40;68;22.82;57.6;27.7;34;64.3;10.9;0;5.13;0.09;4.46;0.09;0.18;0;2.7;0;0.09;0.4
29;Itaim Bibi;97.229;8.3;54;7;26.5;2.3;0.8;39.5;6.795;35;23;41.8;13.6;8.2;48.3;49.8;187.8;0;4.11;5.14;0;0;1.4;80.3;18.6;0.7;0;2.5;38.3;12.8;30;33;56;22;5.02;24.2;10.6;152;46.7;9.1;0;5.25;0.1;3.09;0;0;0.1;3.1;0;0.21;0.4
30;Itaim Paulista;234.912;54.8;51.9;10.5;46.8;3.2;6.4;1;2.238;0.05;6.4;0;3.9;6;3.2;1.7;189;0.55;0.43;0.43;16.4;1;2.4;62.6;18.1;11.9;58.8;11.3;129.3;32.3;35;30;60;193;37.52;65;47.2;62;91.5;7.2;0;5.07;0.04;1.7;0.04;0;0.04;0.4;0;0.09;0.2
31;Itaquera;211.555;45.7;52.2;9.8;43.4;3.2;6.1;1.5;4.813;0.12;11.2;20.7;7.7;9.5;5.2;3.6;355.2;0;5.2;2.69;7.9;0.5;1.9;64.5;18.7;9.9;53.7;11.9;136;24.7;43;30;50;84;23.64;50.9;21.8;44;78;9.2;0;5.2;0;1.42;0;0;0.05;0;0.47;0.14;0.1
32;Jabaquara;229.346;34.4;53;8.7;37.9;2.9;16.5;4.2;5.336;4.76;16.6;37.1;9.2;8.3;8.1;5;224.2;0;1.74;1.18;21.1;0.1;2.2;70.7;17.8;8;49;5.9;98.3;7.7;32;33;35;22;39.5;83.3;50.7;99;71.2;9.1;0.04;5.07;0.04;2.62;0.04;0.04;0.04;1.7;0;0.13;0.2
33;Jaçanã;96.054;35.8;52.6;8.6;40.9;3.2;31.4;2.6;2.603;0.06;0;34.7;12.9;22.9;2.8;2.4;214.2;0;4.16;1.15;18;0.7;5.6;67.3;13.5;12.1;162.9;9.4;158.8;35.7;33;25;48;200;42.24;61.8;28.2;88;76.3;7.7;0.03;5.07;0;1.04;0;0;0;0;1.04;0;0.2
35;Jaguara;23.950;25.8;52.4;8;34.7;3;1.1;13.1;5.643;0.24;0;28.3;18.8;41.8;3.1;5.8;282.6;0;0;0.84;0;0;2.8;72.3;16.4;8.6;0;7.2;105.1;60.1;20;35;39;não aplicável;15.73;100;100;56;94.2;8.3;0.08;5.37;0;0;0;0;0;0;0;0;1.3
36;Jaguaré;55.192;34.4;52;9;39.6;2.8;2.4;17.2;3.922;0.54;20;75.2;10.1;3.6;5.1;6;192.1;1.17;0;0.72;25.5;0;6.7;68.9;17.5;11.5;41.2;5.3;64.5;6.5;30;31;34;não aplicável;20.47;97.6;37.7;74;89.5;12;0;5.01;0;1.81;0;0;0;0;0;0.18;0.7
